26,23
28,29
31,29
23,24
23,20
28,25
30,29
30,27
30,28
24,28
21,20
25,22
21,20
25,21
34,30
26,29
31,29
22,18
28,26
22,25
21,24
24,20
26,28
28,30
24,26
24,27
30,29
21,23
24,28
32,28
25,21
32,28
25,23
22,19
22,20
32,30
21,20
26,25
22,19
31,28
27,29
26,28
29,30
27,30
32,29
28,30
26,24
26,30
24,28
23,20
22,25
32,28
27,29
31,27
24,21
28,30
28,26
62,63
26,28
26,27
29,25
29,25
21,18
26,24
21,24
21,20
28,27
23,24
31,30
21,25
28,24
33,29
34,30
23,26
26,27
27,30
26,22
27,30
25,28
27,23
30,26
21,20
26,24
22,19
26,30
24,22
22,20
27,28
26,28
22,23
27,23
26,27
34,30
22,21
62,63
25,24
26,22
25,29
27,30
32,30
22,20
21,20
22,23
31,28
33,29
22,18
24,20
25,28
21,22
30,26
28,29
32,28
21,18
27,24
25,28
26,27
26,24
21,18
22,25
26,27
28,24
27,23
27,26
22,25
31,30
21,25
27,29
29,27
23,25
30,29
30,27
23,22
22,20
25,29
25,29
61,63
26,23
29,26
22,25
27,29
25,27
21,18
22,20
32,30
32,30
25,26
33,29
23,24
30,28
26,29
30,26
28,30
29,27
27,25
23,21
29,30
31,30
29,27
25,23
31,27
29,26
22,18
28,27
28,24
21,24
23,20
61,63
24,26
22,25
26,30
25,26
23,20
28,26
21,18
24,22
22,25
21,20
23,21
22,24
22,24
31,27
24,25
28,27
31,27
21,17
25,24
25,22
27,30
30,29
32,29
28,27
22,26
28,25
25,22
21,25
25,27
61,63
25,24
23,24
26,29
22,25
27,25
25,29
24,26
25,22
25,29
25,23
28,26
30,28
25,21
21,25
21,25
29,27
30,29
23,19
21,24
27,29
23,25
27,25
25,29
29,26
32,29
27,25
30,29
23,25
33,30
21,22
28,27
29,26
61,63
23,22
26,23
27,25
24,23
21,17
29,26
28,30
22,26
32,28
31,28
26,23
24,26
21,17
31,27
25,21
26,29
30,28
25,28
62,63
33,29
32,28
22,19
31,29
23,25
25,23
26,30
25,24
25,22
25,26
21,19
29,30
22,18
33,30
21,20
25,21
22,26
23,24
21,22
28,30
61,63
27,26
22,19
30,26
23,24
23,22
26,27
21,22
31,29
26,24
31,29
22,20
24,20
27,24
23,20
26,22
23,26
28,29
21,18
30,26
25,29
26,28
22,19
26,30
25,29
22,18
26,25
22,18
23,25
29,30
22,21
24,27
30,26
23,27
28,29
22,20
32,28
26,22
24,28
21,23
24,28
27,24
28,24
34,30
28,25
23,26
21,17
21,20
21,22
23,25
29,26
26,22
22,18
29,26
27,28
28,26
27,26
21,18
30,27
22,18
61,63
25,22
24,25
24,22
28,25
22,25
24,23
22,26
28,24
21,18
25,21
21,20
28,29
33,30
22,23
22,24
24,20
31,27
28,30
27,29
26,25
32,30
23,20
21,17
31,28
23,20
26,27
22,20
24,28
26,30
30,26
22,26
25,22
30,26
26,27
31,27
22,18
24,22
33,30
21,20
29,30
27,29
24,26
29,28
32,29
26,27
25,29
23,19
21,25
22,23
31,30
21,23
30,26
26,27
22,20
25,28
34,30
32,28
21,19
26,30
24,26
29,27
28,29
23,19
29,27
31,30
28,25
27,29
27,23
23,27
23,27
26,24
25,24
24,25
32,29
32,29
22,25
33,29
29,27
30,27
32,30
29,30
24,27
23,25
26,30
31,29
24,25
61,63
30,26
21,25
22,23
21,22
27,29
27,25
22,23
28,29
61,63
61,63
28,30
25,22
22,18
29,25
33,30
23,21
23,24
27,28
28,27
23,19
22,25
27,30
22,19
24,26
21,25
22,24
23,26
23,19
28,26
21,25
23,19
33,30
32,28
25,21
26,27
26,25
25,22
25,21
25,21
22,18
30,26
23,26
24,28
22,26
22,19
61,63
26,29
22,18
21,24
26,29
25,23
27,25
25,24
27,28
32,30
29,28
23,26
26,30
22,26
27,26
26,25
23,19
25,28
29,28
21,19
26,27
61,63
22,20
26,28
24,28
32,28
